LATITUDE,LONGITUDE,DATE,SPECIES_SCIENTIFIC,DATASET
-34.66669846,21.25,13/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.66669846,21.41670036,12/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.66669846,21.48329926,12/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.65000153,20.58329964,07/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.65000153,21.43330002,15/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.63330078,21.26670074,13/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.62170029,21.05500031,23/11/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.61669922,21.10000038,15/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.61330032,20.78000069,10/11/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.61330032,20.78000069,11/12/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.59999847,20.7833004,28/04/1995,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,19.2833004,20/07/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,19.29999924,21/07/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,21.08329964,24/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,21.26670074,11/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,21.51670074,20/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58330154,22.35000038,15/10/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58000183,20.57999992,08/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.58000183,21.23999977,12/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.57500076,20.82169914,10/05/1931,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.57170105,21.50329971,20/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56999969,21.03000069,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56669998,20.5333004,01/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56669998,20.66670036,14/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56669998,21,08/04/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56669998,21.0333004,28/04/1995,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.56669998,21.5,20/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.54999924,21.04999924,15/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.54999924,22.76670074,09/04/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.54999924,26.29999924,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.54000092,21.32999992,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.53329849,21.70000076,08/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.52999878,21.13999939,13/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.52000046,20.45999908,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.52000046,21.06999969,24/09/2004,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,20.79999924,13/10/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,20.93330002,15/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,21.2833004,12/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,21.35000038,08/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,21.36669922,17/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,21.5,26/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.51670074,21.70000076,17/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
